Instr Addr,Branch target,Num times taken
 ffffffe0001389c8, ffffffe00013890e,5
 ffffffe000138920, ffffffe000138954,5
 ffffffe00013896a, ffffffe00003aa84,5
 ffffffe000138974, ffffffe000138922,5
 ffffffe000138926, ffffffe000036e20,5
 ffffffe0000394f8, ffffffe0000394fa,5
 ffffffe000039504, ffffffe000039506,5
 ffffffe00003950e, ffffffe000039512,5
 ffffffe000039530, ffffffe000037496,5
 ffffffe0000374b2, ffffffe00003745a,5
 ffffffe000037468, ffffffe000037358,5
 ffffffe00003737c, ffffffe000037380,5
 ffffffe0000373aa, ffffffe00015d256,5
 ffffffe00015d288, ffffffe00015d28a,5
 ffffffe00015d28c,24126,5
 ffffffe00015d29e, ffffffe00015d2a2,5
 ffffffe00015d2d0, ffffffe0000373ac,5
 ffffffe0000373b6, ffffffe0000373b8,5
 ffffffe0000373b8, ffffffe0000373bc,5
 ffffffe0000373bc, ffffffe0000373d8,5
 ffffffe0000373e0, ffffffe0000373e4,5
 ffffffe000037402, ffffffe00003746c,5
 ffffffe000037478, ffffffe0001749ca,5
 ffffffe0001749e8, ffffffe0001749ec,5
 ffffffe000174a2a, ffffffe000174a2e,5
 ffffffe000174b22, ffffffe000174b26,5
 ffffffe000174b26, ffffffe000174b2a,5
 ffffffe000174b32, ffffffe000174b36,5
 ffffffe000174b3c, ffffffe00003747c,5
 ffffffe000037480, ffffffe000037482,5
 ffffffe000037486, ffffffe000038bec,5
 ffffffe000038bf0, ffffffe000038bf2,5
 ffffffe000038c0e, ffffffe000038c12,5
 ffffffe000038c16, ffffffe000038c1a,5
 ffffffe000038c1e, ffffffe000038c20,5
 ffffffe000038c20, ffffffe000038d4e,5
 ffffffe000038d5c, ffffffe000038d60,5
 ffffffe000038d7a, ffffffe000038c56,5
 ffffffe000038c64, ffffffe000038c68,5
 ffffffe000038c7c, ffffffe00003748a,5
 ffffffe000037494, ffffffe0000374b6,5
 ffffffe0000374cc, ffffffe000039534,5
 ffffffe00003953a, ffffffe000036e40,5
 ffffffe000138988, ffffffe00013898c,5
 ffffffe0001389a4, ffffffe00013872a,5
 ffffffe000138730, ffffffe000138732,5
 ffffffe00013873e, ffffffe000036e40,5
 ffffffe00001a36e, ffffffe0001386a8,5
 ffffffe000032ff2, ffffffe000033a90,5
 ffffffe000033aa2, ffffffe000033aa4,5
 ffffffe000033aaa, ffffffe000033ab6,5
 ffffffe000033ac2, ffffffe0001620a4,5
 ffffffe000014bf6, ffffffe000014bfa,5
2.00E+80, 2000006e5c,5
 ffffffe000066d7c, ffffffe000066d90,5
2000092130,2000092134,4
 2000084a80, 2000084a82,4
 2000084a94, 2000084b14,4
 2000084b1a, 2000084b1e,4
 2000084b22, 2000084b26,4
 2000084b2e, 2000084b32,4
 2000084b58, 2000084b5c,4
 2000084b60,2000090834,4
 200009084a, 2000090c24,4
 2000090c38, 2000090c80,4
 2000090c8a, 2000090c8c,4
 2000090cac, 200009084e,4
2000090854,2000090858,4
2000090860, 2000084b64,4
 2000084b6e, 2000084b72,4
 2000084afc, 2000084b00,4
 2000084b12, 200007260c,4
 20000629d0, 20000629ba,4
 ffffffe000232304, ffffffe000232308,4
 2000006d6c, 2000006d70,4
 2000006d74, 2000006d7e,4
 2000006d82, 2000006d84,4
 2000006d90, 2000006d92,4
 2000006d96, 2000006d98,4
 2000006db4, 2000006db8,4
 2000006dda, 2000006ddc,4
2.00E+07, 200000b0c2,4
2.00E+13, 2000006bee,4
 ffffffe000228d74, ffffffe000228d88,4
 ffffffe000228d88, ffffffe000228e1e,4
 ffffffe000228e1e, ffffffe000228e20,4
 ffffffe000228e20, ffffffe000228e24,4
 ffffffe000228e28, ffffffe000228d4c,4
 ffffffe00002b7de, ffffffe00002b7e0,4
 ffffffe00002b7f6, ffffffe00002d50a,4
 ffffffe00002d510, ffffffe00002d512,4
 ffffffe00002d512, ffffffe0000447b0,4
 ffffffe0000447e6,49962,4
 ffffffe000198dee, ffffffe0000447e8,4
 ffffffe0000447fc, ffffffe000044800,4
